state_name,white,black,hispanic,asian,american_indian_alaska_native,multiple_races,total,median_annual_household_income,anti_black_or_african_american_2020,anti_white_2020,anti_american_indian_or_alaska_native_2020,anti_arab_2020,anti_asian_2020,anti_hispanic_or_latino_2020,anti_multiple_races_group_2020,anti_other_race_ethnicity_ancestry_2020,anti_native_hawaiian_or_other_pacific_islander_2020,all_hate_crimes_2020,percent_change_all
United States,191757100,38872200,59102900,18007200,2125700,8856100,319249300,65712,1732,584,58,40,161,311,118,177,14,3195,4007.2625068250873
Alaska,421100,15200,48900,42000,106000,58200,701700,75463,0,1,1,0,0,0,0,0,0,2,-50
Arizona,3843700,306600,2254800,231000,276100,173400,7098000,62055,53,16,4,1,3,18,5,1,0,101,57.8125
Arkansas,2108400,444200,226800,45500,16700,70100,2922500,48952,8,7,0,0,0,1,0,1,0,17,240
California,14047400,2066300,15271400,5691100,138800,1290700,38642700,80440,231,45,1,4,35,72,14,29,0,431,71.71314741035857
Colorado,3804100,211100,1221900,180300,29400,158700,5611800,77127,50,14,3,1,2,16,6,3,0,95,55.73770491803278
Connecticut,2268200,346400,583300,158600,5600,90100,3453300,78833,17,2,0,0,1,4,3,1,0,28,33.33333333333333
Delaware,577700,205100,91100,36900,3000,26300,940300,70176,3,0,0,0,0,0,0,1,0,4,-20
District of Columbia,246100,302400,75200,25200,1800,20500,671300,92266,9,2,0,0,1,10,0,9,0,31,-44.642857142857146
Florida,11119200,3150100,5583900,573500,39900,513300,20992000,59227,24,3,0,0,2,2,1,1,0,33,37.5
Georgia,5354500,3225900,1011800,422400,19700,253900,10294000,61980,44,28,1,0,0,8,3,5,0,89,53.44827586206896
Hawaii,274400,16400,137900,528600,1600,247200,1343000,83102,4,8,0,1,1,0,1,0,0,15,-6.25
Idaho,1429500,11500,225600,21600,15900,44800,1750900,60999,7,1,0,0,1,5,1,0,0,15,114.28571428571428
Illinois,7522700,1679900,2177500,695500,11300,272500,12362300,69187,12,1,0,0,1,3,0,1,0,18,-10
Indiana,5116000,600500,471000,158800,12300,151300,6511800,57603,31,21,1,0,1,3,2,0,1,60,130.76923076923077
Iowa,2610600,119200,191600,71600,8800,57400,3060200,61691,8,0,0,0,0,0,1,2,0,11,266.66666666666663
Kansas,2128700,153300,341900,79900,17500,89100,2811200,62087,31,8,0,0,1,1,0,0,0,41,115.78947368421052
Kentucky,3648500,344900,160800,70400,4900,87500,4319300,52295,38,12,1,0,2,4,3,4,0,64,28.000000000000004
Louisiana,2643900,1433000,235800,76600,21600,86900,4498600,51073,9,4,0,0,1,0,1,0,1,16,128.57142857142858
Maine,1213500,17800,21900,14500,9700,24600,1302300,58924,14,1,0,0,2,0,0,0,1,18,200
Maryland,2934100,1741500,624500,373300,12400,188100,5875500,86738,6,3,0,0,0,2,2,0,0,13,160
Massachusetts,4687000,466200,824100,448000,12000,210800,6650800,85843,61,22,1,3,9,15,0,9,0,120,44.57831325301205
Michigan,7316400,1305100,514600,315900,47100,264900,9765600,59584,84,37,4,9,0,6,9,7,1,157,7.534246575342466
Minnesota,4361600,353700,307300,272500,50900,165900,5514800,74593,38,7,1,0,7,5,2,7,0,67,76.31578947368422
Mississippi,1622400,1078300,85900,28600,11000,40700,2867100,45792,6,4,0,0,0,2,0,1,0,13,160
Missouri,4715000,667100,253900,122500,21200,152000,5939900,57409,25,9,0,0,1,0,1,3,0,39,50
Montana,895200,5900,38300,7900,62900,28700,1039400,57153,4,0,4,0,0,0,0,0,0,8,14.285714285714285
Nebraska,1470900,89200,212200,45200,14800,40200,1873600,63229,7,18,1,0,2,4,0,1,0,33,106.25
Nevada,1448800,279000,888400,257500,26700,111900,3029700,63276,20,22,0,1,4,5,1,1,0,54,285.7142857142857
New Hampshire,1179700,17600,51500,34800,N/A,27600,1314000,77933,6,0,0,0,2,0,1,0,0,9,50
New Jersey,4738500,1081400,1822900,836400,8800,209000,8699400,85751,281,28,0,5,27,40,6,11,1,399,75
New Mexico,750000,35000,1010200,32900,176600,36000,2041400,51945,11,4,0,0,0,3,0,3,0,21,31.25
New York,10432200,2651600,3649800,1625500,39100,507900,18908300,72108,60,13,0,0,10,2,6,3,0,94,11.904761904761903
North Carolina,6355400,2124200,987900,294400,112600,260600,10139700,57341,60,36,1,1,0,7,6,6,0,117,48.10126582278481
North Dakota,614600,17900,29400,10400,38000,19100,731000,64577,7,0,0,0,0,2,0,0,0,9,28.57142857142857
Ohio,8918300,1380000,452300,260500,15800,321400,11351500,58642,53,50,11,0,2,5,11,11,0,143,50.526315789473685
Oklahoma,2488200,262800,424600,78900,295000,272800,3826900,54449,17,3,0,0,0,2,0,0,0,22,175
Oregon,3097700,72900,553400,192000,38900,163100,4128900,67058,49,14,4,0,1,12,3,9,3,95,72.72727272727273
Pennsylvania,9401500,1282000,960500,438000,14200,279200,12377600,63463,17,3,0,1,3,0,2,8,0,34,126.66666666666666
South Carolina,3177000,1307200,285200,84100,14300,108300,4984200,56227,24,2,0,1,0,2,1,0,0,30,114.28571428571428
South Dakota,697500,18800,31400,11000,71500,20500,851300,59533,1,2,2,0,0,2,0,1,0,8,33.33333333333333
Tennessee,4884500,1088500,378900,120600,17200,148700,6640900,56071,22,10,0,1,2,4,0,0,0,39,-11.363636363636363
Texas,11637100,3297200,11300500,1409700,76800,545800,28286200,64034,76,40,7,5,7,24,7,12,5,183,35.55555555555556
Utah,2452300,32600,455000,72800,31100,84400,3154100,75780,3,4,1,0,0,1,2,3,0,14,55.55555555555556
Vermont,555100,6700,10600,9700,4000,11900,598100,63001,13,8,0,0,1,0,1,2,0,25,177.77777777777777
Virginia,5017100,1543100,787100,551900,13600,268300,8185100,76456,36,13,0,0,4,2,7,6,0,68,51.11111111111111
Washington,5013200,282700,964700,662400,82400,371100,7423900,78687,86,19,6,4,15,12,5,12,0,159,2.5806451612903225
West Virginia,1609000,55900,24800,14200,3900,31200,1739000,48850,4,12,2,0,0,0,0,0,0,18,38.46153846153847
Wisconsin,4602500,349200,401700,169100,37400,114100,5677100,64168,17,26,1,1,2,1,1,2,0,51,264.2857142857143
Wyoming,471600,5400,57100,3400,12300,12000,562700,65003,2,1,0,0,0,1,0,0,1,5,150
